store_id,timezone_str
8139926242460185114,Asia/Beirut
5415949628544298339,America/Boise
3408529570017053440,America/Denver
9055649751952768824,America/Denver
4428372089193592098,America/Denver
2689959411535120475,America/Denver
8297996490922435741,America/Denver
1050565545391667097,America/Denver
3483930781272060942,America/Denver
1740222068509982431,America/Denver
2859012985063828777,America/Denver
3828361964081888905,America/Denver
5789640881970906690,America/Denver
5723059602183693938,America/Denver
4378293333107164443,America/Denver
8778651700128892847,America/Denver
6666934422919388376,America/Denver
6163165919739157695,America/Denver
2190599106298424769,America/Denver
2225219938220197351,America/Denver
5925159570709352168,America/Denver
8175229951397380687,America/Denver
4292660491880158081,America/Denver
6733800122189753654,America/Denver
7463734423358941330,America/Denver
7622852966095963272,America/Denver
6160914795278193489,America/Denver
